x,u,cost
0,0,865.5399028142267
0,1,864.8135391778632
0,2,864.3608119051358
0,3,864.1817209960449
0,4,864.285617099941
0,5,864.7004879433833
0,6,865.4570892698433
0,7,866.5892185996196
0,8,868.1340160649083
0,9,870.132294997793
0,10,872.62890521375
1,0,863.8135391778632
1,1,863.3608119051358
1,2,863.1817209960449
1,3,863.285617099941
1,4,863.7004879433833
1,5,864.4570892698433
1,6,865.5892185996196
1,7,867.1340160649083
1,8,869.132294997793
1,9,871.62890521375
1,10,874.4891517933434
2,0,862.3608119051358
2,1,862.1817209960449
2,2,862.285617099941
2,3,862.7004879433833
2,4,863.4570892698433
2,5,864.5892185996196
2,6,866.1340160649083
2,7,868.132294997793
2,8,870.62890521375
2,9,873.4891517933434
2,10,876.4393983729366
3,0,861.1817209960449
3,1,861.285617099941
3,2,861.7004879433833
3,3,862.4570892698433
3,4,863.5892185996196
3,5,865.1340160649083
3,6,867.132294997793
3,7,869.62890521375
3,8,872.4891517933434
3,9,875.4393983729366
3,10,878.4796449525301
4,0,860.285617099941
4,1,860.7004879433833
4,2,861.4570892698433
4,3,862.5892185996196
4,4,864.1340160649083
4,5,866.132294997793
4,6,868.62890521375
4,7,871.4891517933434
4,8,874.4393983729366
4,9,877.4796449525301
4,10,880.6098915321236
5,0,859.7004879433833
5,1,860.4570892698433
5,2,861.5892185996196
5,3,863.1340160649083
5,4,865.132294997793
5,5,867.62890521375
5,6,870.4891517933434
5,7,873.4393983729366
5,8,876.4796449525301
5,9,879.6098915321236
5,10,882.8207874623665
6,0,859.4570892698433
6,1,860.5892185996196
6,2,862.1340160649083
6,3,864.132294997793
6,4,866.62890521375
6,5,869.4891517933434
6,6,872.4393983729366
6,7,875.4796449525301
6,8,878.6098915321236
6,9,881.8207874623665
6,10,885.0843450166994
7,0,859.5892185996196
7,1,861.1340160649083
7,2,863.132294997793
7,3,865.62890521375
7,4,868.4891517933434
7,5,871.4393983729366
7,6,874.4796449525301
7,7,877.6098915321236
7,8,880.8207874623665
7,9,884.0843450166994
7,10,887.369808451651
8,0,860.1340160649083
8,1,862.132294997793
8,2,864.62890521375
8,3,867.4891517933434
8,4,870.4393983729366
8,5,873.4796449525301
8,6,876.6098915321236
8,7,879.8207874623665
8,8,883.0843450166994
8,9,886.369808451651
8,10,889.6433802469227
9,0,861.132294997793
9,1,863.62890521375
9,2,866.4891517933434
9,3,869.4393983729366
9,4,872.4796449525301
9,5,875.6098915321236
9,6,878.8207874623665
9,7,882.0843450166994
9,8,885.369808451651
9,9,888.6433802469227
9,10,891.8679202703185
10,0,862.62890521375
10,1,865.4891517933434
10,2,868.4393983729366
10,3,871.4796449525301
10,4,874.6098915321236
10,5,877.8207874623665
10,6,881.0843450166994
10,7,884.369808451651
10,8,887.6433802469227
10,9,890.8679202703185
10,10,894.0026151897546
